Name = Van de Vooren symmetrischer Tropfen 28,333%, 57,0°
Mach = 0; Re = 100000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-180.0	-0.000	0.01917	-0.000	0.542	0.542	0.891	0.891	-0.000	0.224	0.250
-179.0	-0.133	0.01923	-0.004	0.513	0.571	0.887	0.893	-6.918	0.224	0.224
-178.0	-0.266	0.01948	-0.007	0.478	0.598	0.883	0.895	-13.652	0.224	0.224
-177.0	-0.399	0.01995	-0.010	0.443	0.622	0.879	0.897	-19.979	0.224	0.224
-176.0	-0.531	0.02063	-0.014	0.404	0.646	0.873	0.900	-25.728	0.224	0.224
-175.0	-0.662	0.02154	-0.017	0.364	0.667	0.866	0.902	-30.741	0.224	0.224
-174.0	-0.793	0.02268	-0.021	0.322	0.687	0.857	0.904	-34.950	0.224	0.224
-173.0	-0.921	0.02411	-0.024	0.278	0.708	0.846	0.904	-38.223	0.224	0.224
-172.0	-1.049	0.02585	-0.027	0.237	0.723	0.834	0.907	-40.585	0.224	0.224
-171.0	-1.175	0.02798	-0.031	0.195	0.739	0.818	0.910	-41.980	0.224	0.224
-170.0	-1.297	0.03038	-0.034	0.159	0.756	0.799	0.910	-42.693	0.225	0.224
-169.0	-1.417	0.03308	-0.037	0.130	0.768	0.776	0.912	-42.835	0.225	0.224
-168.0	-1.532	0.03598	-0.040	0.107	0.782	0.750	0.914	-42.581	0.225	0.224
-167.0	-1.642	0.03939	-0.042	0.088	0.797	0.721	0.914	-41.692	0.225	0.224
-166.0	-1.749	0.04261	-0.045	0.076	0.806	0.688	0.916	-41.045	0.226	0.224
-165.0	-1.850	0.04673	-0.047	0.064	0.815	0.649	0.919	-39.593	0.226	0.224
-164.0	-1.943	0.05084	-0.050	0.055	0.826	0.605	0.922	-38.228	0.227	0.224
-163.0	-2.028	0.05533	-0.051	0.049	0.837	0.556	0.923	-36.646	0.229	0.225
-162.0	-2.105	0.06038	-0.053	0.043	0.844	0.503	0.927	-34.861	0.231	0.225
-161.0	-2.173	0.06562	-0.054	0.038	0.852	0.445	0.928	-33.114	0.235	0.225
-160.0	-2.233	0.07174	-0.055	0.035	0.860	0.382	0.931	-31.128	0.239	0.225
-159.0	-2.284	0.07734	-0.056	0.032	0.869	0.327	0.932	-29.535	0.238	0.226
-158.0	-2.327	0.08400	-0.056	0.030	0.877	0.285	0.934	-27.697	0.242	0.226
-157.0	-2.362	0.09138	-0.056	0.027	0.881	0.239	0.938	-25.844	0.257	0.226
-156.0	-2.388	0.09900	-0.056	0.026	0.885	0.195	0.940	-24.117	0.258	0.227
-155.0	-2.405	0.10525	-0.056	0.025	0.892	0.169	0.942	-22.852	0.254	0.227
-154.0	-2.405	0.11478	-0.056	0.023	0.899	0.144	0.943	-20.950	0.289	0.227
-153.0	-2.395	0.12509	-0.056	0.021	0.907	0.133	0.943	-19.145	0.298	0.227
-152.0	-2.379	0.13871	-0.057	0.019	0.910	0.125	0.946	-17.149	0.260	0.226
-151.0	-2.356	0.14765	-0.057	0.018	0.914	0.108	0.948	-15.956	0.245	0.226
-150.0	-2.327	0.15963	-0.057	0.017	0.918	0.097	0.951	-14.578	0.250	0.226
-149.0	-2.292	0.17241	-0.057	0.017	0.920	0.088	0.952	-13.296	0.254	0.225
-148.0	-2.255	0.18636	-0.057	0.016	0.924	0.083	0.956	-12.098	0.260	0.225
-147.0	-2.212	0.20162	-0.057	0.015	0.930	0.079	0.958	-10.971	0.244	0.224
-146.0	-2.167	0.21587	-0.056	0.015	0.935	0.067	0.959	-10.037	0.244	0.224
-145.0	-2.119	0.23146	-0.057	0.014	0.938	0.065	0.960	-9.155	0.259	0.223
-144.0	-2.071	0.24556	-0.057	0.013	0.939	0.064	0.963	-8.432	0.247	0.222
-143.0	-2.021	0.26220	-0.056	0.013	0.942	0.056	0.964	-7.706	0.250	0.222
-142.0	-1.970	0.27407	-0.057	0.012	0.944	0.057	0.965	-7.188	0.248	0.221
-141.0	-1.919	0.29814	-0.056	0.012	0.947	0.050	0.967	-6.438	0.246	0.221
-140.0	-1.869	0.31230	-0.057	0.011	0.948	0.051	0.968	-5.985	0.246	0.220
-139.0	-1.818	0.32986	-0.056	0.011	0.952	0.046	0.967	-5.513	0.226	0.219
-138.0	-1.770	0.35317	-0.055	0.011	0.955	0.040	0.969	-5.012	0.248	0.219
-137.0	-1.722	0.38948	-0.056	0.011	0.959	0.043	0.969	-4.421	0.243	0.218
-136.0	-1.675	0.39614	-0.054	0.011	0.961	0.036	0.969	-4.228	0.238	0.218
-135.0	-1.630	0.40723	-0.055	0.010	0.963	0.038	0.971	-4.002	0.264	0.217
-134.0	-1.586	0.46766	-0.055	0.009	0.964	0.041	0.972	-3.391	0.220	0.215
-133.0	-1.399	0.61406	-0.048	0.009	0.509	0.037	0.509	-2.279	0.216	0.216
-132.0	-1.362	0.63354	-0.048	0.008	0.508	0.038	0.508	-2.150	0.238	0.215
-131.0	-1.327	0.63746	-0.047	0.008	0.510	0.035	0.511	-2.082	0.240	0.215
-130.0	-1.293	0.69353	-0.047	0.008	0.510	0.037	0.511	-1.864	0.241	0.214
