Name = VO242
Mach = 0; Re = 100000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-180.0	-0.000	0.02755	-0.000	0.514	0.514	0.821	0.821	-0.000	0.212	0.250
-179.0	-0.145	0.02761	-0.006	0.495	0.533	0.816	0.826	-5.250	0.212	0.212
-178.0	-0.290	0.02782	-0.011	0.475	0.552	0.811	0.830	-10.411	0.212	0.212
-177.0	-0.434	0.02822	-0.017	0.454	0.570	0.806	0.834	-15.380	0.212	0.212
-176.0	-0.578	0.02879	-0.022	0.433	0.587	0.799	0.838	-20.067	0.212	0.212
-175.0	-0.721	0.02957	-0.028	0.412	0.603	0.793	0.841	-24.381	0.212	0.212
-174.0	-0.863	0.03053	-0.033	0.390	0.619	0.785	0.845	-28.280	0.212	0.212
-173.0	-1.005	0.03171	-0.038	0.369	0.635	0.778	0.848	-31.679	0.212	0.212
-172.0	-1.145	0.03312	-0.044	0.347	0.649	0.769	0.851	-34.566	0.212	0.212
-171.0	-1.283	0.03471	-0.049	0.325	0.664	0.760	0.854	-36.975	0.213	0.212
-170.0	-1.420	0.03681	-0.054	0.304	0.677	0.750	0.857	-38.582	0.213	0.212
-169.0	-1.555	0.03914	-0.059	0.283	0.690	0.739	0.860	-39.720	0.213	0.212
-168.0	-1.687	0.04179	-0.064	0.263	0.703	0.727	0.863	-40.375	0.213	0.212
-167.0	-1.817	0.04462	-0.069	0.244	0.715	0.715	0.866	-40.720	0.213	0.212
-166.0	-1.944	0.04783	-0.073	0.225	0.727	0.702	0.868	-40.640	0.213	0.212
-165.0	-2.067	0.05125	-0.078	0.208	0.738	0.687	0.871	-40.337	0.214	0.212
-164.0	-2.187	0.05491	-0.082	0.192	0.748	0.672	0.874	-39.833	0.214	0.212
-163.0	-2.303	0.05901	-0.086	0.177	0.759	0.657	0.877	-39.027	0.214	0.213
-162.0	-2.414	0.06320	-0.090	0.163	0.768	0.640	0.880	-38.203	0.214	0.213
-161.0	-2.521	0.06789	-0.094	0.151	0.778	0.623	0.882	-37.134	0.214	0.213
-160.0	-2.623	0.07282	-0.098	0.139	0.787	0.605	0.885	-36.016	0.214	0.213
-159.0	-2.719	0.07815	-0.101	0.129	0.795	0.587	0.888	-34.789	0.214	0.213
-158.0	-2.810	0.08371	-0.104	0.119	0.804	0.569	0.891	-33.562	0.214	0.213
-157.0	-2.894	0.08959	-0.108	0.111	0.812	0.550	0.894	-32.303	0.214	0.213
-156.0	-2.972	0.09574	-0.110	0.103	0.820	0.530	0.896	-31.045	0.214	0.213
-155.0	-3.044	0.10246	-0.113	0.096	0.827	0.511	0.899	-29.707	0.213	0.213
-154.0	-3.110	0.10940	-0.115	0.089	0.834	0.492	0.902	-28.423	0.213	0.213
-153.0	-3.168	0.11674	-0.118	0.084	0.841	0.473	0.905	-27.136	0.212	0.213
-152.0	-3.220	0.12432	-0.120	0.078	0.847	0.454	0.907	-25.903	0.211	0.213
