Name = S4083 (8%)
Mach = 0; Re = 100000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-180.0	-0.488	0.01170	-0.092	0.362	0.984	0.997	0.994	-41.714	0.248	0.062
-179.0	-0.604	0.01219	-0.092	0.329	0.986	0.997	0.994	-49.510	0.248	0.098
-178.0	-0.719	0.01276	-0.092	0.305	0.988	0.996	0.994	-56.318	0.248	0.122
-177.0	-0.833	0.01343	-0.092	0.283	0.990	0.996	0.994	-62.050	0.248	0.139
-176.0	-0.946	0.01436	-0.092	0.249	0.991	0.995	0.995	-65.925	0.248	0.152
-175.0	-1.058	0.01540	-0.093	0.223	0.993	0.994	0.995	-68.686	0.248	0.162
-174.0	-1.155	0.01599	-0.093	0.187	0.993	0.992	0.996	-72.247	0.248	0.170
-173.0	-1.233	0.01942	-0.093	0.001	0.993	0.988	0.996	-63.506	0.769	0.175
-172.0	-1.285	0.01166	-0.025	0.001	0.994	0.002	0.996	-110.205	1.212	0.230
-171.0	-1.305	0.01752	-0.024	0.001	0.994	0.001	0.996	-74.493	0.428	0.232
-170.0	-1.291	0.02444	-0.024	0.001	0.994	0.001	0.997	-52.824	0.270	0.231
-169.0	-1.244	0.03443	-0.025	0.001	0.995	0.001	0.998	-36.122	0.257	0.230
-168.0	-1.170	0.04678	-0.025	0.001	0.995	0.001	0.998	-25.016	0.257	0.228
-167.0	-1.079	0.06379	-0.026	0.001	0.995	0.002	0.998	-16.911	0.255	0.226
-166.0	-0.978	0.09039	-0.026	0.001	0.996	0.002	0.998	-10.819	0.253	0.223
-165.0	-0.876	0.12256	-0.027	0.001	0.996	0.002	0.999	-7.147	0.254	0.219
-164.0	-0.778	0.15131	-0.027	0.001	0.996	0.002	0.999	-5.140	0.260	0.215
-163.0	-0.687	0.09618	-0.029	0.001	0.996	0.002	0.999	-7.143	0.260	0.208
-162.0	-0.605	0.10946	-0.029	0.001	0.997	0.002	0.999	-5.530	0.254	0.203
-161.0	-0.533	0.14492	-0.029	0.001	0.997	0.003	0.999	-3.678	0.261	0.195
-160.0	-0.470	0.16919	-0.030	0.001	0.998	0.003	0.999	-2.776	0.258	0.186
-159.0	-0.415	0.17657	-0.030	0.001	0.998	0.003	0.999	-2.348	0.253	0.177
-158.0	-0.367	0.20553	-0.030	0.001	0.998	0.003	0.998	-1.785	0.263	0.167
-157.0	-0.326	0.25020	-0.031	0.001	0.999	0.004	0.999	-1.302	0.257	0.154
-156.0	-0.290	0.27147	-0.031	0.002	0.998	0.003	0.998	-1.069	0.257	0.143
-155.0	-0.260	0.31986	-0.032	0.001	0.998	0.004	0.998	-0.811	0.279	0.127
-154.0	-0.233	0.37174	-0.033	0.001	0.998	0.004	0.998	-0.626	0.259	0.110
-153.0	-0.210	0.38627	-0.032	0.002	0.999	0.004	0.999	-0.543	0.260	0.096
-152.0	-0.189	0.44675	-0.033	0.002	0.999	0.005	0.999	-0.424	0.288	0.076
-151.0	-0.172	0.50069	-0.034	0.002	0.999	0.005	0.999	-0.343	0.262	0.054
-150.0	-0.156	0.55288	-0.033	0.002	0.999	0.005	0.999	-0.283	0.263	0.036
-149.0	-0.143	0.62403	-0.034	0.002	0.999	0.005	0.999	-0.229	0.300	0.011
-148.0	-0.131	0.69164	-0.035	0.002	0.999	0.006	0.999	-0.189	0.303	-0.016
-147.0	-0.120	0.76377	-0.035	0.002	0.999	0.006	0.999	-0.157	0.253	-0.044
-146.0	-0.111	0.83902	-0.035	0.002	0.999	0.006	0.999	-0.132	0.253	-0.065
-145.0	-0.102	0.92676	-0.035	0.002	0.999	0.006	0.999	-0.110	0.327	-0.096
-144.0	-0.095	0.63109	-0.036	0.002	0.999	0.007	0.999	-0.150	0.275	-0.131
-143.0	-0.088	0.69225	-0.036	0.002	0.999	0.007	0.999	-0.127	0.253	-0.157
-142.0	-0.082	0.70265	-0.036	0.002	0.998	0.007	0.998	-0.116	0.330	-0.191
-141.0	-0.076	0.76762	-0.037	0.002	0.998	0.007	0.998	-0.100	0.362	-0.230
-140.0	-0.071	0.85657	-0.037	0.002	0.999	0.008	0.999	-0.083	0.252	-0.271
-139.0	-0.067	0.91757	-0.037	0.002	0.999	0.007	0.999	-0.073	0.220	-0.297
-138.0	-0.063	0.95672	-0.037	0.002	0.999	0.008	0.999	-0.066	0.322	-0.337
-137.0	-0.059	0.96275	-0.037	0.002	0.998	0.008	0.998	-0.062	0.326	-0.378
-136.0	-0.056	1.00309	-0.037	0.002	0.999	0.008	0.999	-0.056	-0.085	-0.420
-135.0	-0.048	1.22886	-0.033	0.002	0.524	0.009	0.525	-0.039	-0.116	-0.448
-134.0	-0.045	1.32861	-0.034	0.002	0.524	0.009	0.525	-0.034	0.333	-0.491
-133.0	-0.043	1.38209	-0.034	0.002	0.524	0.009	0.525	-0.031	0.338	-0.536
-132.0	-0.041	1.44082	-0.034	0.002	0.524	0.010	0.525	-0.028	0.342	-0.582
-131.0	-0.039	1.50458	-0.034	0.002	0.524	0.010	0.525	-0.026	0.346	-0.628
-130.0	-0.037	1.57352	-0.034	0.002	0.524	0.010	0.525	-0.024	0.124	-0.676
-129.0	-0.035	1.61184	-0.034	0.003	0.524	0.009	0.525	-0.022	0.115	-0.702
-128.0	-0.034	1.69148	-0.034	0.003	0.524	0.010	0.525	-0.020	0.369	-0.750
-127.0	-0.033	1.77739	-0.034	0.003	0.524	0.010	0.525	-0.018	0.374	-0.799
-126.0	-0.031	1.87050	-0.034	0.003	0.524	0.010	0.525	-0.017	0.378	-0.849
-125.0	-0.030	1.97202	-0.034	0.003	0.524	0.011	0.525	-0.015	0.380	-0.899
-124.0	-0.029	2.08367	-0.035	0.003	0.524	0.011	0.524	-0.014	0.303	-0.949
-123.0	-0.028	2.03417	-0.035	0.003	0.524	0.011	0.525	-0.014	0.305	-0.993
-122.0	-0.027	2.15345	-0.035	0.003	0.524	0.011	0.525	-0.012	0.397	-1.044
-121.0	-0.026	2.28721	-0.035	0.003	0.524	0.011	0.525	-0.011	0.303	-1.094
-120.0	-0.025	2.24677	-0.035	0.003	0.524	0.011	0.525	-0.011	0.301	-1.138
-119.0	-0.024	2.39253	-0.035	0.003	0.524	0.012	0.525	-0.010	0.413	-1.188
-118.0	-0.024	2.55873	-0.035	0.003	0.524	0.012	0.525	-0.009	0.304	-1.238
-117.0	-0.023	2.52541	-0.035	0.003	0.524	0.012	0.525	-0.009	0.330	-1.280
-116.0	-0.022	2.71188	-0.035	0.003	0.524	0.012	0.528	-0.008	0.357	-1.330
-115.0	-0.022	2.68747	-0.035	0.003	0.524	0.012	0.531	-0.008	0.227	-1.376
-114.0	-0.021	2.67529	-0.035	0.003	0.524	0.012	0.534	-0.008	0.363	-1.423
-113.0	-0.020	2.89343	-0.035	0.003	0.524	0.013	0.538	-0.007	0.977	-1.477
-112.0	-0.020	2.03459	-0.036	0.002	0.524	0.014	0.541	-0.010	0.873	-1.556
-111.0	-0.019	2.02703	-0.036	0.002	0.524	0.014	0.545	-0.010	0.216	-1.601
-110.0	-0.019	2.02779	-0.036	0.002	0.525	0.014	0.549	-0.009	0.197	-1.645
-109.0	-0.018	2.03667	-0.036	0.002	0.526	0.014	0.552	-0.009	0.176	-1.688
-108.0	-0.018	2.05480	-0.036	0.002	0.528	0.014	0.555	-0.009	0.159	-1.729
-107.0	-0.018	2.08211	-0.036	0.002	0.529	0.014	0.557	-0.009	0.148	-1.769
-106.0	-0.017	2.13146	-0.036	0.002	0.531	0.014	0.560	-0.008	0.135	-1.807
-105.0	-0.017	2.16911	-0.036	0.002	0.532	0.014	0.563	-0.008	0.120	-1.844
-104.0	-0.017	2.20943	-0.036	0.002	0.533	0.014	0.566	-0.008	0.121	-1.879
-103.0	-0.016	2.25957	-0.036	0.002	0.535	0.014	0.569	-0.007	-0.193	-1.913
-102.0	-0.016	2.11856	-0.035	0.002	0.536	0.014	0.572	-0.008	0.745	-1.935
-101.0	-0.016	2.12234	-0.036	0.002	0.537	0.015	0.576	-0.008	1.143	-1.995
-100.0	-0.016	2.19222	-0.036	0.002	0.538	0.015	0.579	-0.007	0.055	-2.023
-99.0	-0.016	2.29074	-0.036	0.002	0.539	0.015	0.582	-0.007	-0.384	-2.050
-98.0	-0.015	2.16509	-0.036	0.002	0.540	0.014	0.586	-0.007	0.888	-2.064
-97.0	-0.015	2.30778	-0.036	0.002	0.542	0.015	0.589	-0.007	1.022	-2.117
-96.0	-0.015	2.18962	-0.036	0.002	0.542	0.015	0.593	-0.007	-0.572	-2.127
-95.0	-0.015	2.30910	-0.036	0.002	0.544	0.015	0.597	-0.006	-0.732	-2.145
-94.0	-0.015	2.21357	-0.036	0.002	0.545	0.015	0.600	-0.007	-1.580	-2.151
-93.0	-0.015	2.12749	-0.035	0.002	0.546	0.014	0.604	-0.007	1.448	-2.154
-92.0	-0.015	2.32262	-0.036	0.002	0.547	0.015	0.608	-0.006	1.727	-2.197
-91.0	-0.015	2.16617	-0.036	0.002	0.548	0.015	0.612	-0.007	-1.541	-2.196
-90.0	-0.014	2.16715	-0.036	0.002	0.549	0.015	0.615	-0.007	-0.511	-2.203
-89.0	-0.014	2.17396	-0.036	0.002	0.550	0.015	0.620	-0.007	-0.746	-2.208
-88.0	-0.014	2.18856	-0.035	0.002	0.551	0.015	0.624	-0.007	-1.319	-2.210
-87.0	-0.014	2.21054	-0.035	0.002	0.552	0.015	0.629	-0.007	0.950	-2.211
-86.0	-0.012	2.49429	-0.037	0.518	0.008	0.565	0.020	-0.005	0.901	-2.697
-85.0	-0.012	2.48953	-0.037	0.517	0.008	0.561	0.020	-0.005	60.664	-2.687
-84.0	-0.013	2.48807	-0.037	0.516	0.008	0.558	0.020	-0.005	10.135	-2.675
-83.0	-0.013	2.49029	-0.036	0.515	0.008	0.554	0.020	-0.005	5.583	-2.659
-82.0	-0.013	2.49762	-0.036	0.514	0.008	0.550	0.020	-0.005	3.738	-2.641
-81.0	-0.013	2.51137	-0.036	0.513	0.008	0.547	0.020	-0.005	2.873	-2.622
-80.0	-0.013	2.51918	-0.036	0.512	0.008	0.544	0.020	-0.005	3.553	-2.599
-79.0	-0.013	2.38080	-0.036	0.511	0.008	0.541	0.020	-0.005	2.905	-2.563
-78.0	-0.013	2.39036	-0.036	0.510	0.008	0.538	0.020	-0.005	1.609	-2.537
-77.0	-0.013	2.40304	-0.036	0.508	0.008	0.535	0.020	-0.005	1.392	-2.508
-76.0	-0.013	2.41945	-0.035	0.507	0.008	0.533	0.020	-0.005	1.266	-2.478
-75.0	-0.013	2.44034	-0.035	0.506	0.008	0.530	0.020	-0.005	1.728	-2.445
-74.0	-0.013	2.31707	-0.035	0.504	0.008	0.528	0.019	-0.006	1.603	-2.400
-73.0	-0.013	2.33903	-0.035	0.504	0.008	0.524	0.019	-0.006	1.054	-2.362
-72.0	-0.014	2.36636	-0.035	0.504	0.008	0.520	0.019	-0.006	1.392	-2.322
-71.0	-0.014	2.25396	-0.035	0.504	0.008	0.517	0.019	-0.006	0.104	-2.271
-70.0	-0.014	2.26028	-0.035	0.504	0.007	0.513	0.020	-0.006	0.081	-2.258
-69.0	-0.014	2.15695	-0.035	0.504	0.007	0.510	0.020	-0.007	1.060	-2.204
-68.0	-0.014	2.18898	-0.035	0.504	0.007	0.507	0.020	-0.007	0.969	-2.159
-67.0	-0.015	2.09474	-0.034	0.504	0.007	0.505	0.019	-0.007	0.832	-2.103
-66.0	-0.015	2.13196	-0.034	0.504	0.007	0.504	0.019	-0.007	0.726	-2.058
-65.0	-0.015	2.04679	-0.034	0.504	0.007	0.504	0.019	-0.007	0.674	-2.002
