Name = YS-930
Mach = 0; Re = 100000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-180.0	-0.431	0.01091	-0.100	0.729	0.895	0.856	0.984	-39.470	0.247	0.017
-179.0	-0.547	0.01169	-0.101	0.726	0.953	0.824	0.976	-46.814	0.245	0.066
-178.0	-0.661	0.01200	-0.102	0.723	0.961	0.804	0.978	-55.092	0.223	0.096
-177.0	-0.769	0.01688	-0.107	0.002	0.965	0.976	0.980	-45.569	0.594	0.111
-176.0	-0.866	0.00751	-0.031	0.001	0.969	0.002	0.981	-115.275	0.720	0.214
-175.0	-0.934	0.01117	-0.029	0.001	0.971	0.001	0.983	-83.559	0.280	0.218
-174.0	-0.961	0.01775	-0.028	0.000	0.972	0.001	0.985	-54.158	0.337	0.221
-173.0	-0.944	0.02584	-0.029	0.000	0.974	0.001	0.986	-36.552	0.279	0.220
-172.0	-0.888	0.03470	-0.030	0.001	0.975	0.001	0.987	-25.579	0.273	0.216
-171.0	-0.803	0.04867	-0.032	0.001	0.977	0.002	0.988	-16.495	0.265	0.210
-170.0	-0.705	0.06707	-0.033	0.001	0.978	0.002	0.989	-10.517	0.262	0.203
-169.0	-0.607	0.09388	-0.034	0.001	0.979	0.002	0.990	-6.471	0.260	0.194
-168.0	-0.517	0.11658	-0.035	0.001	0.980	0.002	0.991	-4.434	0.264	0.182
-167.0	-0.437	0.14465	-0.037	0.001	0.981	0.003	0.992	-3.024	0.269	0.166
-166.0	-0.370	0.09151	-0.038	0.001	0.982	0.003	0.993	-4.041	0.263	0.148
-165.0	-0.313	0.10866	-0.038	0.001	0.984	0.003	0.993	-2.883	0.266	0.128
-164.0	-0.266	0.13696	-0.039	0.001	0.985	0.004	0.994	-1.945	0.268	0.103
-163.0	-0.228	0.15324	-0.040	0.001	0.986	0.004	0.995	-1.486	0.275	0.075
-162.0	-0.196	0.17744	-0.041	0.001	0.987	0.004	0.996	-1.103	0.280	0.040
-161.0	-0.169	0.21323	-0.042	0.002	0.988	0.004	0.997	-0.794	0.283	0.004
-160.0	-0.147	0.24203	-0.043	0.002	0.988	0.005	0.997	-0.608	0.295	-0.040
-159.0	-0.129	0.29200	-0.043	0.002	0.989	0.005	0.998	-0.441	0.292	-0.087
-158.0	-0.113	0.33267	-0.044	0.002	0.990	0.006	0.998	-0.340	0.306	-0.140
-157.0	-0.100	0.37205	-0.045	0.002	0.991	0.006	0.999	-0.269	0.303	-0.199
-156.0	-0.089	0.41725	-0.045	0.002	0.993	0.006	0.999	-0.213	0.285	-0.260
-155.0	-0.079	0.48600	-0.046	0.002	0.994	0.006	0.999	-0.163	0.303	-0.326
-154.0	-0.071	0.53475	-0.046	0.002	0.999	0.007	0.999	-0.133	0.339	-0.400
-153.0	-0.064	0.36043	-0.047	0.002	0.999	0.007	0.999	-0.178	0.331	-0.483
-152.0	-0.058	0.40218	-0.047	0.002	0.999	0.007	0.999	-0.145	0.299	-0.565
-151.0	-0.053	0.44455	-0.048	0.002	1.000	0.008	1.000	-0.119	0.343	-0.652
-150.0	-0.048	0.48029	-0.048	0.002	1.000	0.008	1.000	-0.100	0.327	-0.754
-149.0	-0.044	0.52259	-0.048	0.003	0.999	0.008	1.000	-0.084	0.302	-0.847
-148.0	-0.040	0.55537	-0.049	0.003	0.999	0.008	1.000	-0.073	0.332	-0.955
-147.0	-0.037	0.61824	-0.049	0.003	1.000	0.009	1.000	-0.060	0.364	-1.063
-146.0	-0.034	0.66474	-0.049	0.003	1.000	0.009	1.000	-0.052	0.369	-1.187
-145.0	-0.032	0.71318	-0.050	0.003	1.000	0.009	1.000	-0.045	0.367	-1.305
-144.0	-0.030	0.75737	-0.050	0.003	1.000	0.010	1.000	-0.039	0.286	-1.439
-143.0	-0.028	0.80936	-0.050	0.003	1.000	0.010	1.000	-0.034	0.319	-1.553
-142.0	-0.026	0.89579	-0.050	0.003	1.000	0.010	1.000	-0.029	0.365	-1.703
-141.0	-0.024	0.96669	-0.050	0.003	1.000	0.010	1.000	-0.025	0.301	-1.831
-140.0	-0.023	0.99479	-0.050	0.003	1.000	0.011	1.000	-0.023	0.292	-1.983
-139.0	-0.021	1.10050	-0.050	0.003	1.000	0.011	1.000	-0.019	0.272	-2.116
-138.0	-0.020	1.16458	-0.050	0.003	1.000	0.011	1.000	-0.017	0.454	-2.274
-137.0	-0.019	0.76659	-0.051	0.003	1.000	0.012	1.000	-0.025	0.305	-2.437
-136.0	-0.018	0.84083	-0.051	0.003	1.000	0.012	1.000	-0.021	-0.025	-2.584
-135.0	-0.017	0.85600	-0.050	0.004	1.000	0.012	1.000	-0.020	-1.671	-2.716
-134.0	-0.015	1.03160	-0.044	0.004	0.524	0.012	0.524	-0.014	-1.681	-2.793
-133.0	-0.014	1.04585	-0.044	0.004	0.524	0.013	0.524	-0.013	0.010	-2.948
-132.0	-0.013	1.12167	-0.044	0.004	0.524	0.013	0.524	-0.012	-0.045	-3.085
-131.0	-0.013	1.15211	-0.044	0.004	0.524	0.013	0.524	-0.011	0.202	-3.239
-130.0	-0.012	1.23123	-0.044	0.004	0.524	0.014	0.524	-0.010	-0.166	-3.402
-129.0	-0.011	1.27139	-0.043	0.004	0.524	0.014	0.524	-0.009	-0.359	-3.525
-128.0	-0.011	1.30860	-0.043	0.004	0.524	0.014	0.524	-0.008	-0.075	-3.676
-127.0	-0.011	1.33980	-0.043	0.004	0.524	0.014	0.524	-0.008	-0.151	-3.824
-126.0	-0.010	1.37940	-0.043	0.004	0.524	0.015	0.524	-0.007	-0.637	-3.969
-125.0	-0.010	1.43523	-0.042	0.004	0.524	0.014	0.524	-0.007	-0.752	-4.080
-124.0	-0.009	1.47855	-0.042	0.004	0.524	0.015	0.524	-0.006	-0.388	-4.218
-123.0	-0.009	1.52341	-0.042	0.004	0.524	0.015	0.526	-0.006	-0.912	-4.353
-122.0	-0.009	1.59130	-0.041	0.004	0.524	0.015	0.528	-0.006	-1.027	-4.451
-121.0	-0.009	1.64988	-0.041	0.004	0.524	0.015	0.531	-0.005	-0.810	-4.578
-120.0	-0.008	1.62979	-0.041	0.004	0.524	0.016	0.533	-0.005	-0.965	-4.688
-119.0	-0.008	1.68980	-0.041	0.004	0.525	0.016	0.536	-0.005	-1.507	-4.803
-118.0	-0.008	1.77919	-0.040	0.004	0.527	0.016	0.538	-0.004	-1.905	-4.877
-117.0	-0.008	1.77315	-0.040	0.004	0.529	0.016	0.541	-0.004	-1.461	-4.969
-116.0	-0.007	1.85045	-0.039	0.004	0.530	0.016	0.543	-0.004	-1.657	-5.065
-115.0	-0.007	1.84251	-0.039	0.004	0.532	0.016	0.546	-0.004	-1.886	-5.142
-114.0	-0.007	1.93132	-0.039	0.004	0.533	0.017	0.548	-0.004	-2.855	-5.224
-113.0	-0.007	1.96297	-0.038	0.005	0.534	0.016	0.550	-0.004	-3.405	-5.251
-112.0	-0.007	1.97453	-0.037	0.005	0.536	0.017	0.553	-0.003	-2.866	-5.306
-111.0	-0.007	1.99096	-0.037	0.005	0.537	0.017	0.555	-0.003	-3.163	-5.354
-110.0	-0.006	2.00047	-0.037	0.005	0.538	0.017	0.558	-0.003	-3.487	-5.394
-109.0	-0.006	2.02124	-0.036	0.005	0.539	0.017	0.561	-0.003	-3.841	-5.426
-108.0	-0.006	2.04856	-0.036	0.005	0.540	0.017	0.564	-0.003	-5.272	-5.450
-107.0	-0.006	2.11157	-0.035	0.005	0.542	0.017	0.566	-0.003	-5.762	-5.431
-106.0	-0.006	2.15035	-0.034	0.005	0.543	0.017	0.569	-0.003	-5.476	-5.440
-105.0	-0.006	2.09815	-0.034	0.005	0.544	0.017	0.572	-0.003	-6.028	-5.430
-104.0	-0.006	2.14606	-0.033	0.005	0.545	0.017	0.575	-0.003	-6.180	-5.423
-103.0	-0.006	2.19362	-0.033	0.005	0.546	0.018	0.578	-0.003	-7.318	-5.410
-102.0	-0.006	2.14913	-0.032	0.005	0.547	0.018	0.582	-0.003	-8.094	-5.378
-101.0	-0.006	1.60819	-0.032	0.005	0.548	0.018	0.585	-0.004	-9.008	-5.352
-100.0	-0.006	1.58330	-0.031	0.005	0.549	0.018	0.589	-0.004	-10.766	-5.306
-99.0	-0.006	1.56236	-0.031	0.005	0.550	0.018	0.592	-0.004	-12.176	-5.255
-98.0	-0.006	1.54567	-0.030	0.005	0.551	0.018	0.596	-0.004	-13.059	-5.197
-97.0	-0.006	1.61010	-0.030	0.005	0.553	0.018	0.600	-0.003	-18.759	-5.145
-96.0	-0.005	2.14116	-0.029	0.005	0.554	0.017	0.603	-0.003	-22.317	-5.032
-95.0	-0.005	2.23249	-0.028	0.005	0.555	0.017	0.607	-0.002	-23.272	-4.969
-94.0	-0.005	2.13358	-0.028	0.005	0.556	0.017	0.611	-0.003	-32.109	-4.881
-93.0	-0.005	2.13629	-0.027	0.005	0.557	0.017	0.615	-0.003	-42.826	-4.799
-92.0	-0.005	2.14407	-0.027	0.005	0.559	0.017	0.619	-0.003	-70.593	-4.713
-91.0	-0.005	2.15696	-0.026	0.005	0.560	0.017	0.623	-0.003	-278.284	-4.624
-90.0	-0.005	2.07948	-0.026	0.005	0.561	0.017	0.628	-0.003	170.337	-4.521
-89.0	-0.005	2.10001	-0.025	0.005	0.562	0.017	0.632	-0.003	59.602	-4.426
-88.0	-0.005	2.12607	-0.025	0.005	0.563	0.017	0.637	-0.003	36.391	-4.329
-87.0	-0.005	2.06075	-0.024	0.005	0.564	0.017	0.642	-0.003	27.911	-4.221
-86.0	-0.005	2.00302	-0.024	0.005	0.565	0.017	0.646	-0.003	-1.056	-4.111
-85.0	-0.005	2.89034	-0.023	0.551	0.005	0.600	0.018	-0.002	-1.042	-4.688
-84.0	-0.005	2.89534	-0.023	0.549	0.005	0.596	0.018	-0.002	20.171	-4.560
-83.0	-0.005	2.90444	-0.022	0.548	0.005	0.592	0.018	-0.002	16.559	-4.433
-82.0	-0.005	2.91804	-0.022	0.547	0.005	0.588	0.018	-0.002	13.829	-4.305
-81.0	-0.005	2.93670	-0.022	0.545	0.005	0.584	0.018	-0.002	9.882	-4.178
-80.0	-0.005	2.94018	-0.021	0.544	0.005	0.581	0.019	-0.002	8.979	-4.079
-79.0	-0.005	2.86766	-0.021	0.543	0.005	0.577	0.019	-0.002	9.162	-3.945
-78.0	-0.005	2.90078	-0.020	0.541	0.005	0.573	0.019	-0.002	7.932	-3.822
-77.0	-0.005	2.83945	-0.020	0.540	0.005	0.569	0.018	-0.002	7.271	-3.692
-76.0	-0.005	2.78748	-0.020	0.539	0.005	0.566	0.018	-0.002	6.334	-3.565
-75.0	-0.005	2.74168	-0.019	0.538	0.005	0.563	0.018	-0.002	5.254	-3.441
-74.0	-0.005	2.78524	-0.019	0.536	0.005	0.560	0.018	-0.002	4.604	-3.327
-73.0	-0.005	2.74035	-0.018	0.535	0.005	0.557	0.018	-0.002	3.560	-3.209
-72.0	-0.005	2.68374	-0.018	0.534	0.005	0.554	0.018	-0.002	3.091	-3.114
-71.0	-0.006	2.64845	-0.018	0.532	0.005	0.551	0.018	-0.002	3.291	-3.002
-70.0	-0.006	2.61910	-0.018	0.531	0.005	0.548	0.018	-0.002	2.875	-2.892
-69.0	-0.006	2.60085	-0.017	0.530	0.005	0.545	0.018	-0.002	2.500	-2.786
