Name = NACA 0012
Mach = 0; Re = 100000; T.U. = 1,0; T.L. = 1,0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-180,0	-0,000	0,01769	-0,000	0,449	0,449	0,995	0,995	-0,000	0,244	0,250
-179,0	-0,120	0,01782	-0,001	0,380	0,520	0,994	0,995	-6,743	0,244	0,244
-178,0	-0,240	0,01825	-0,002	0,311	0,591	0,992	0,996	-13,152	0,244	0,244
-177,0	-0,359	0,01788	-0,002	0,241	0,660	0,991	0,995	-20,081	0,244	0,244
-176,0	-0,477	0,01894	-0,003	0,165	0,722	0,987	0,995	-25,185	0,243	0,244
-175,0	-0,592	0,02306	-0,004	0,071	0,775	0,980	0,994	-25,695	0,243	0,244
-174,0	-0,705	0,02509	-0,005	0,031	0,818	0,968	0,993	-28,082	0,243	0,243
-173,0	-0,811	0,02720	-0,005	0,020	0,851	0,943	0,993	-29,818	0,244	0,243
-172,0	-0,910	0,02973	-0,006	0,014	0,877	0,819	0,992	-30,626	0,259	0,244
-171,0	-1,001	0,02515	-0,004	0,011	0,898	0,038	0,992	-39,819	0,263	0,246
-170,0	-1,082	0,02920	-0,004	0,009	0,914	0,023	0,991	-37,040	0,249	0,247
-169,0	-1,148	0,03481	-0,004	0,008	0,928	0,018	0,991	-32,979	0,247	0,247
-168,0	-1,194	0,04198	-0,004	0,007	0,939	0,015	0,990	-28,450	0,246	0,247
-167,0	-1,224	0,05089	-0,004	0,006	0,948	0,013	0,991	-24,054	0,242	0,247
-166,0	-1,237	0,06128	-0,004	0,005	0,955	0,011	0,991	-20,183	0,214	0,247
-165,0	-1,233	0,07471	-0,004	0,005	0,961	0,010	0,991	-16,508	0,264	0,246
-164,0	-1,215	0,08814	-0,005	0,005	0,966	0,008	0,992	-13,789	0,256	0,246
-163,0	-1,185	0,10636	-0,005	0,004	0,970	0,008	0,992	-11,145	0,255	0,246
-162,0	-1,145	0,12500	-0,005	0,004	0,974	0,007	0,992	-9,164	0,255	0,246
-161,0	-1,098	0,14588	-0,005	0,004	0,977	0,007	0,992	-7,530	0,254	0,245
-160,0	-1,047	0,17605	-0,005	0,003	0,979	0,007	0,993	-5,945	0,254	0,245
-159,0	-0,992	0,20094	-0,005	0,003	0,981	0,007	0,993	-4,937	0,253	0,244
-158,0	-0,937	0,22985	-0,006	0,003	0,984	0,006	0,993	-4,075	0,252	0,244
-157,0	-0,881	0,26709	-0,006	0,003	0,985	0,006	0,993	-3,300	0,253	0,244
-156,0	-0,827	0,30116	-0,006	0,002	0,986	0,006	0,993	-2,747	0,253	0,243
-155,0	-0,776	0,34390	-0,006	0,002	0,987	0,005	0,994	-2,255	0,253	0,242
-154,0	-0,726	0,39477	-0,006	0,002	0,988	0,005	0,994	-1,840	0,252	0,242
-153,0	-0,680	0,45713	-0,006	0,002	0,989	0,005	0,994	-1,487	0,252	0,241
-152,0	-0,636	0,50192	-0,006	0,002	0,990	0,005	0,995	-1,268	0,253	0,240
-151,0	-0,596	0,54524	-0,006	0,002	0,992	0,005	0,995	-1,093	0,252	0,239
-150,0	-0,558	0,62283	-0,006	0,002	0,992	0,004	0,995	-0,896	0,252	0,238
-149,0	-0,523	0,69493	-0,007	0,002	0,992	0,004	0,995	-0,753	0,253	0,237
-148,0	-0,491	0,76150	-0,007	0,002	0,992	0,004	0,996	-0,645	0,254	0,236
-147,0	-0,461	0,81414	-0,007	0,002	0,993	0,004	0,996	-0,566	0,256	0,235
-146,0	-0,430	0,90651	-0,007	0,002	0,993	0,005	0,996	-0,475	0,255	0,234
-145,0	-0,403	0,96502	-0,007	0,002	0,993	0,005	0,996	-0,417	0,256	0,232
-144,0	-0,377	1,07096	-0,007	0,002	0,994	0,005	0,996	-0,352	0,256	0,231
-143,0	-0,354	1,13512	-0,007	0,002	0,994	0,005	0,996	-0,312	0,256	0,229
-142,0	-0,333	1,25660	-0,008	0,002	0,994	0,005	0,997	-0,265	0,256	0,227
-141,0	-0,314	1,32702	-0,008	0,002	0,994	0,005	0,997	-0,236	0,255	0,226
-140,0	-0,296	1,40142	-0,008	0,002	0,995	0,006	0,997	-0,211	0,259	0,224
-139,0	-0,280	1,50181	-0,008	0,002	0,995	0,006	0,997	-0,186	0,260	0,221
-138,0	-0,265	1,58548	-0,008	0,002	0,995	0,006	0,997	-0,167	0,256	0,220
-137,0	-0,251	1,73078	-0,008	0,002	0,996	0,007	0,997	-0,145	0,255	0,217
-136,0	-0,238	1,81954	-0,008	0,002	0,996	0,007	0,997	-0,131	0,259	0,216
-135,0	-0,226	1,94558	-0,008	0,002	0,996	0,008	0,997	-0,116	0,230	0,213
-134,0	-0,194	2,25729	-0,007	0,002	0,500	0,008	0,500	-0,086	0,225	0,212
-133,0	-0,185	2,36446	-0,007	0,002	0,500	0,008	0,500	-0,078	0,255	0,210
-132,0	-0,177	2,42274	-0,007	0,002	0,500	0,009	0,500	-0,073	0,256	0,208
-131,0	-0,169	2,64452	-0,007	0,002	0,500	0,009	0,500	-0,064	0,250	0,206
-130,0	-0,162	2,13696	-0,007	0,002	0,500	0,009	0,500	-0,076	0,253	0,204
-129,0	-0,155	2,21760	-0,007	0,002	0,500	0,010	0,500	-0,070	0,251	0,202
-128,0	-0,149	2,31216	-0,007	0,002	0,500	0,010	0,500	-0,065	0,243	0,200
-127,0	-0,144	2,41460	-0,007	0,002	0,500	0,010	0,500	-0,059	0,245	0,198
-126,0	-0,138	2,40807	-0,007	0,001	0,500	0,010	0,500	-0,057	0,243	0,197
-125,0	-0,133	2,53036	-0,007	0,001	0,500	0,011	0,500	-0,053	0,235	0,195
-124,0	-0,129	2,66499	-0,007	0,001	0,500	0,011	0,500	-0,048	0,237	0,194
