Nombre = Van de Vooren symmetrical airfoil 14,335%, 30,0°
Mach = 0; Re = 200000; T.E. = 1,0; T.I. = 1,0
Acabado superficial = 0; modelo de pérdida = 0; Transition model = 1; Alargamiento = 0; efecto suelo = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-180,0	-0,000	0,02090	-0,000	0,514	0,514	0,862	0,862	-0,000	0,211	0,250
-179,0	-0,146	0,02094	-0,006	0,495	0,533	0,857	0,866	-6,978	0,211	0,211
-178,0	-0,292	0,02114	-0,011	0,475	0,552	0,852	0,870	-13,816	0,211	0,211
-177,0	-0,438	0,02148	-0,017	0,454	0,570	0,846	0,873	-20,366	0,211	0,211
-176,0	-0,582	0,02199	-0,023	0,433	0,587	0,840	0,877	-26,492	0,211	0,211
-175,0	-0,727	0,02267	-0,028	0,412	0,603	0,834	0,880	-32,056	0,211	0,211
-174,0	-0,870	0,02351	-0,034	0,390	0,619	0,827	0,883	-37,011	0,212	0,211
-173,0	-1,013	0,02452	-0,039	0,369	0,635	0,819	0,886	-41,298	0,212	0,211
-172,0	-1,153	0,02572	-0,044	0,347	0,649	0,811	0,888	-44,839	0,212	0,211
-171,0	-1,293	0,02709	-0,050	0,325	0,664	0,802	0,890	-47,714	0,212	0,212
-170,0	-1,430	0,02883	-0,055	0,304	0,677	0,792	0,893	-49,613	0,212	0,212
-169,0	-1,566	0,03075	-0,060	0,283	0,690	0,782	0,895	-50,914	0,212	0,212
-168,0	-1,699	0,03293	-0,065	0,263	0,703	0,771	0,897	-51,584	0,212	0,212
-167,0	-1,829	0,03529	-0,070	0,244	0,715	0,759	0,898	-51,838	0,213	0,212
-166,0	-1,956	0,03792	-0,075	0,225	0,727	0,747	0,900	-51,595	0,213	0,212
-165,0	-2,080	0,04075	-0,079	0,208	0,738	0,734	0,902	-51,049	0,213	0,212
-164,0	-2,200	0,04382	-0,084	0,192	0,748	0,720	0,904	-50,211	0,213	0,212
-163,0	-2,316	0,04712	-0,088	0,177	0,759	0,706	0,905	-49,160	0,213	0,212
-162,0	-2,428	0,05066	-0,092	0,163	0,768	0,691	0,907	-47,921	0,213	0,212
-161,0	-2,534	0,05442	-0,096	0,151	0,778	0,676	0,908	-46,575	0,213	0,212
-160,0	-2,636	0,05850	-0,100	0,139	0,787	0,660	0,910	-45,057	0,212	0,212
-159,0	-2,732	0,06279	-0,104	0,129	0,795	0,643	0,912	-43,510	0,212	0,212
-158,0	-2,822	0,06742	-0,107	0,119	0,804	0,627	0,913	-41,863	0,212	0,212
-157,0	-2,906	0,07213	-0,110	0,111	0,812	0,610	0,915	-40,292	0,211	0,212
-156,0	-2,984	0,07737	-0,113	0,103	0,820	0,593	0,916	-38,573	0,211	0,212
-155,0	-3,055	0,08261	-0,116	0,096	0,827	0,575	0,918	-36,986	0,210	0,212
-154,0	-3,121	0,08819	-0,119	0,089	0,834	0,557	0,920	-35,389	0,209	0,212
-153,0	-3,179	0,09428	-0,121	0,084	0,841	0,540	0,921	-33,713	0,208	0,212
-152,0	-3,231	0,10034	-0,123	0,078	0,847	0,522	0,923	-32,195	0,206	0,212
-151,0	-3,275	0,10679	-0,125	0,073	0,854	0,505	0,924	-30,665	0,203	0,212
-150,0	-3,313	0,11363	-0,127	0,069	0,859	0,488	0,926	-29,157	0,201	0,212
