Nombre = VO12
Mach = 0; Re = 200000; T.E. = 1,0; T.I. = 1,0
Acabado superficial = 0; modelo de pérdida = 0; Transition model = 1; Alargamiento = 0; efecto suelo = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-180,0	-0,000	0,01450	-0,000	0,542	0,542	0,922	0,922	-0,000	0,223	0,250
-179,0	-0,134	0,01454	-0,004	0,513	0,571	0,919	0,926	-9,210	0,223	0,223
-178,0	-0,268	0,01479	-0,007	0,478	0,598	0,915	0,927	-18,094	0,223	0,223
-177,0	-0,401	0,01522	-0,011	0,443	0,622	0,911	0,930	-26,360	0,224	0,223
-176,0	-0,534	0,01584	-0,014	0,404	0,646	0,904	0,931	-33,710	0,224	0,224
-175,0	-0,666	0,01664	-0,018	0,364	0,667	0,896	0,934	-40,060	0,224	0,224
-174,0	-0,798	0,01770	-0,021	0,322	0,687	0,888	0,935	-45,062	0,224	0,224
-173,0	-0,927	0,01902	-0,024	0,278	0,708	0,879	0,935	-48,758	0,224	0,224
-172,0	-1,055	0,02059	-0,028	0,237	0,723	0,866	0,936	-51,271	0,224	0,224
-171,0	-1,181	0,02239	-0,031	0,195	0,739	0,850	0,938	-52,763	0,224	0,224
-170,0	-1,304	0,02454	-0,034	0,159	0,756	0,834	0,938	-53,163	0,224	0,224
-169,0	-1,425	0,02695	-0,037	0,130	0,768	0,815	0,939	-52,869	0,224	0,224
-168,0	-1,540	0,02946	-0,040	0,107	0,782	0,794	0,939	-52,279	0,224	0,224
-167,0	-1,651	0,03226	-0,043	0,088	0,797	0,769	0,939	-51,169	0,224	0,224
-166,0	-1,757	0,03493	-0,046	0,076	0,806	0,744	0,940	-50,312	0,224	0,224
-165,0	-1,859	0,03835	-0,049	0,064	0,815	0,713	0,942	-48,460	0,224	0,224
-164,0	-1,951	0,04194	-0,051	0,055	0,826	0,681	0,942	-46,527	0,224	0,224
-163,0	-2,035	0,04543	-0,053	0,049	0,837	0,645	0,942	-44,796	0,223	0,224
-162,0	-2,112	0,04950	-0,055	0,043	0,844	0,605	0,944	-42,675	0,223	0,224
-161,0	-2,180	0,05404	-0,057	0,038	0,852	0,564	0,944	-40,344	0,224	0,224
-160,0	-2,240	0,05886	-0,059	0,035	0,860	0,518	0,946	-38,051	0,224	0,224
-159,0	-2,290	0,06397	-0,060	0,032	0,869	0,475	0,946	-35,803	0,223	0,224
-158,0	-2,332	0,06883	-0,061	0,030	0,877	0,434	0,946	-33,883	0,224	0,224
-157,0	-2,367	0,07534	-0,062	0,027	0,881	0,389	0,948	-31,413	0,226	0,224
-156,0	-2,393	0,08154	-0,063	0,026	0,885	0,347	0,951	-29,345	0,221	0,224
-155,0	-2,410	0,08785	-0,063	0,025	0,892	0,313	0,951	-27,428	0,199	0,224
-154,0	-2,409	0,09567	-0,064	0,023	0,899	0,276	0,952	-25,182	0,299	0,224
-153,0	-2,398	0,10274	-0,064	0,021	0,907	0,249	0,950	-23,340	0,277	0,223
-152,0	-2,383	0,11229	-0,064	0,019	0,910	0,227	0,954	-21,219	0,263	0,223
-151,0	-2,360	0,12022	-0,064	0,018	0,914	0,203	0,958	-19,632	0,254	0,223
-150,0	-2,331	0,12981	-0,064	0,017	0,918	0,184	0,959	-17,955	0,254	0,222
-149,0	-2,297	0,13936	-0,065	0,017	0,920	0,169	0,961	-16,479	0,255	0,222
-148,0	-2,257	0,15120	-0,065	0,016	0,924	0,156	0,961	-14,927	0,252	0,221
-147,0	-2,214	0,16063	-0,065	0,015	0,930	0,144	0,963	-13,786	0,246	0,221
-146,0	-2,168	0,17207	-0,064	0,015	0,935	0,130	0,963	-12,602	0,248	0,220
-145,0	-2,120	0,18371	-0,065	0,014	0,938	0,123	0,963	-11,541	0,254	0,220
-144,0	-2,071	0,20133	-0,065	0,013	0,939	0,118	0,964	-10,287	0,247	0,219
-143,0	-2,022	0,20905	-0,064	0,013	0,942	0,107	0,967	-9,671	0,249	0,218
-142,0	-1,971	0,22427	-0,065	0,012	0,944	0,105	0,967	-8,787	0,246	0,217
-141,0	-1,920	0,24012	-0,064	0,012	0,947	0,095	0,968	-7,996	0,244	0,217
-140,0	-1,870	0,25760	-0,064	0,011	0,948	0,093	0,971	-7,260	0,245	0,216
-139,0	-1,819	0,27189	-0,063	0,011	0,952	0,085	0,969	-6,692	0,235	0,215
-138,0	-1,771	0,29001	-0,063	0,011	0,955	0,079	0,971	-6,105	0,245	0,215
-137,0	-1,722	0,29900	-0,063	0,011	0,959	0,079	0,971	-5,760	0,238	0,214
-136,0	-1,675	0,30890	-0,061	0,011	0,961	0,070	0,971	-5,423	0,240	0,213
-135,0	-1,630	0,33776	-0,062	0,010	0,963	0,072	0,972	-4,826	0,255	0,212
-134,0	-1,586	0,35751	-0,062	0,009	0,964	0,072	0,973	-4,437	0,213	0,211
-133,0	-1,399	0,50540	-0,053	0,009	0,509	0,067	0,509	-2,769	0,212	0,212
-132,0	-1,362	0,52074	-0,053	0,008	0,508	0,067	0,508	-2,616	0,234	0,211
-131,0	-1,327	0,53493	-0,052	0,008	0,510	0,062	0,511	-2,481	0,234	0,211
-130,0	-1,293	0,56814	-0,052	0,008	0,510	0,064	0,511	-2,275	0,234	0,210
-129,0	-1,259	0,58364	-0,051	0,008	0,509	0,060	0,510	-2,158	0,231	0,209
-128,0	-1,228	0,62531	-0,051	0,007	0,509	0,061	0,510	-1,964	0,232	0,208
-127,0	-1,198	0,65869	-0,050	0,007	0,509	0,059	0,510	-1,819	0,215	0,208
-126,0	-1,169	0,64485	-0,049	0,007	0,509	0,055	0,510	-1,813	0,227	0,208
-125,0	-1,141	0,71811	-0,049	0,007	0,509	0,057	0,510	-1,588	0,229	0,207
-124,0	-1,110	0,74203	-0,048	0,007	0,509	0,055	0,510	-1,496	0,210	0,207
-123,0	-1,081	0,71719	-0,046	0,007	0,509	0,051	0,510	-1,507	0,206	0,207
-122,0	-1,053	0,74867	-0,045	0,007	0,509	0,049	0,510	-1,407	0,221	0,207
-121,0	-1,027	0,79297	-0,045	0,006	0,509	0,051	0,510	-1,295	0,218	0,206
-120,0	-1,002	0,80864	-0,044	0,006	0,509	0,049	0,510	-1,240	0,196	0,207
-119,0	-0,979	0,83848	-0,042	0,006	0,509	0,047	0,510	-1,168	0,191	0,207
-118,0	-0,957	0,86578	-0,041	0,006	0,509	0,044	0,510	-1,105	0,185	0,207
-117,0	-0,936	6,17493	-0,039	0,006	0,510	0,042	0,510	-0,152	0,200	0,208
-116,0	-0,916	0,88178	-0,039	0,005	0,510	0,044	0,510	-1,039	0,201	0,208
-115,0	-0,898	0,96569	-0,038	0,005	0,510	0,043	0,510	-0,929	0,172	0,208
-114,0	-0,880	0,98039	-0,036	0,005	0,510	0,041	0,510	-0,898	0,159	0,209
-113,0	-0,863	0,95903	-0,034	0,005	0,510	0,038	0,510	-0,900	0,158	0,210
-112,0	-0,848	1,02996	-0,033	0,005	0,510	0,037	0,511	-0,823	0,152	0,211
-111,0	-0,833	0,99000	-0,032	0,005	0,510	0,035	0,511	-0,842	0,169	0,212
-110,0	-0,820	1,06165	-0,031	0,005	0,510	0,038	0,511	-0,772	0,161	0,212
-109,0	-0,807	0,99120	-0,029	0,005	0,510	0,036	0,511	-0,814	0,124	0,214
-108,0	-0,795	1,04637	-0,028	0,005	0,510	0,035	0,511	-0,760	0,121	0,215
-107,0	-0,784	1,12525	-0,026	0,005	0,510	0,034	0,511	-0,697	0,102	0,217
-106,0	-0,773	1,08989	-0,025	0,005	0,510	0,032	0,511	-0,710	0,085	0,218
-105,0	-0,765	1,16573	-0,023	0,005	0,510	0,031	0,515	-0,656	0,059	0,220
-104,0	-0,757	1,11094	-0,021	0,005	0,510	0,029	0,524	-0,681	0,051	0,222
-103,0	-0,750	1,07017	-0,020	0,005	0,510	0,030	0,532	-0,701	0,059	0,223
-102,0	-0,744	1,08930	-0,019	0,004	0,510	0,031	0,540	-0,683	0,007	0,225
-101,0	-0,739	1,13963	-0,017	0,004	0,510	0,030	0,549	-0,648	-0,052	0,226
-100,0	-0,734	1,21087	-0,016	0,004	0,510	0,029	0,557	-0,606	-0,108	0,228
-99,0	-0,729	1,13098	-0,014	0,004	0,510	0,027	0,566	-0,645	-0,142	0,231
-98,0	-0,726	1,09844	-0,013	0,004	0,510	0,028	0,574	-0,661	-0,201	0,232
-97,0	-0,723	1,16038	-0,011	0,004	0,510	0,027	0,583	-0,623	-0,355	0,235
-96,0	-0,720	1,09726	-0,009	0,004	0,510	0,025	0,591	-0,657	-0,494	0,237
-95,0	-0,718	1,15824	-0,008	0,004	0,510	0,024	0,598	-0,620	-0,550	0,239
-94,0	-0,717	1,10530	-0,006	0,004	0,511	0,025	0,603	-0,648	-0,726	0,241
-93,0	-0,715	1,16072	-0,005	0,004	0,513	0,024	0,607	-0,616	-1,726	0,243
-92,0	-0,715	1,22716	-0,003	0,004	0,513	0,023	0,614	-0,583	-6,015	0,246
-91,0	-0,715	1,06253	-0,002	0,004	0,514	0,021	0,618	-0,673	18,200	0,248
-90,0	-0,715	1,19369	-0,000	0,003	0,515	0,023	0,622	-0,599	0,217	0,250
-89,0	-0,622	1,87561	0,002	0,514	0,004	0,618	0,021	-0,332	0,216	0,252
-88,0	-0,623	2,03288	0,003	0,513	0,004	0,614	0,023	-0,307	1,562	0,255
-87,0	-0,625	1,95828	0,005	0,513	0,004	0,607	0,024	-0,319	1,230	0,258
-86,0	-0,627	1,89625	0,006	0,511	0,004	0,603	0,025	-0,330	1,036	0,260
-85,0	-0,629	1,94609	0,008	0,510	0,004	0,598	0,024	-0,323	0,875	0,262
-84,0	-0,632	1,87526	0,009	0,510	0,004	0,591	0,025	-0,337	0,754	0,265
-83,0	-0,635	1,92485	0,011	0,510	0,004	0,583	0,027	-0,330	0,681	0,267
-82,0	-0,639	1,85087	0,013	0,510	0,004	0,574	0,028	-0,345	0,614	0,270
-81,0	-0,643	1,87484	0,014	0,510	0,004	0,566	0,027	-0,343	0,574	0,272
-80,0	-0,649	1,93983	0,016	0,510	0,004	0,557	0,029	-0,334	0,548	0,274
-79,0	-0,654	1,85527	0,017	0,510	0,004	0,549	0,030	-0,353	0,512	0,277
-78,0	-0,661	1,79121	0,019	0,510	0,004	0,540	0,031	-0,369	0,471	0,279
-77,0	-0,667	1,76178	0,020	0,510	0,005	0,532	0,030	-0,379	0,432	0,280
-76,0	-0,674	1,79189	0,021	0,510	0,005	0,524	0,029	-0,376	0,435	0,282
-75,0	-0,683	1,82987	0,023	0,510	0,005	0,515	0,031	-0,373	0,434	0,284
-74,0	-0,691	1,74257	0,025	0,510	0,005	0,511	0,032	-0,397	0,423	0,285
-73,0	-0,701	1,76807	0,026	0,510	0,005	0,511	0,034	-0,396	0,411	0,287
-72,0	-0,711	1,68090	0,028	0,510	0,005	0,511	0,035	-0,423	0,392	0,289
-71,0	-0,722	1,61714	0,029	0,510	0,005	0,511	0,036	-0,446	0,387	0,290
-70,0	-0,734	1,67690	0,031	0,510	0,005	0,511	0,038	-0,438	0,350	0,292
-69,0	-0,746	1,60320	0,032	0,510	0,005	0,511	0,035	-0,465	0,342	0,292
-68,0	-0,759	1,63190	0,033	0,510	0,005	0,511	0,037	-0,465	0,357	0,294
-67,0	-0,773	1,55067	0,034	0,510	0,005	0,510	0,038	-0,499	0,350	0,295
-66,0	-0,788	1,55994	0,036	0,510	0,005	0,510	0,041	-0,505	0,348	0,296
-65,0	-0,805	1,53269	0,038	0,510	0,005	0,510	0,043	-0,525	0,335	0,297
-64,0	-0,822	1,43809	0,039	0,510	0,005	0,510	0,044	-0,571	0,305	0,297
-63,0	-0,839	6,72588	0,039	0,510	0,006	0,510	0,042	-0,125	0,305	0,297
-62,0	-0,858	1,40385	0,041	0,509	0,006	0,510	0,044	-0,611	0,320	0,298
-61,0	-0,878	1,36365	0,042	0,509	0,006	0,510	0,047	-0,644	0,314	0,298
-60,0	-0,900	1,32083	0,044	0,509	0,006	0,510	0,049	-0,681	0,309	0,298
-59,0	-0,923	1,29210	0,045	0,509	0,006	0,510	0,051	-0,714	0,286	0,299
-58,0	-0,946	1,24125	0,045	0,509	0,007	0,510	0,049	-0,762	0,282	0,298
-57,0	-0,971	1,19648	0,046	0,509	0,007	0,510	0,051	-0,812	0,298	0,298
